ref_id,category,structure,description,verification_target,refs_version,static_evidence_level,static_analysis_notes,raw_analysis_notes
MD_SNAP_RA_003,Metadata,Stream Snapshots,Non-resident snapshot extents use same VLCN format as type 0x40 data runs. Standard extent resolution applies to snapshot data recovery.,No,3.14,E2,"E2 2026-06-18: snapshot DATA reuses CmsStream::LookupAllocation -- the SAME extent routine as ordinary type-0x40 file reads (reads run+0x00 VLCN, +0x0C file_vcn, +0x14 run_length); 24-byte extent format VLCN@0x00/flags@0x08/file_vcn@0x0C/run@0x14 identical to type-0x40. Residency = disk-allocated-size at DATA value+0x48 (0=inline, >0=non-resident).","CONFIRMED ALL-DISK 2026-06-18: 29 of 30 true snapshots are NON-RESIDENT across 8 images; content byte-exact recovered (arg.txt/test2='arg ument 1', 1 extent; xbpt_beta_sierra_570651.json/versionmodified=3,202,036 B across 8 extents, header GFSAREPLAY). Extent format identical to type-0x40 (C.4). The prior UNCONFIRMABLE re-verify conflated the 116-byte 0xB0-record residency with the linked 0x80-DATA-record residency. See structure_reference C.6."
MD_SNAP_RA_004,Metadata,Stream Snapshots,Snapshot sub-record format: size + header + UTF-16 name + metadata + extents. Stream count increases per snapshot (4-6 for 1-2 snapshots).,No,3.14,N/A,On-disk layout observation; not directly verifiable from driver code,See ra_step4_18_deep_attribute_analysis_report.md Section 10.2
MD_SNAP_RA_005,Metadata,Directory Entries,"E20 RETRACTED: ADS are always resident (inline). 956 ADS across 46 images all have StreamSummary flags=0. 29 snapshot entries have SS flags=2. 28 entries initially misclassified as extent-based ADS were actually snapshots (same 0x000500B0 descriptor). Discriminator: StreamSummary flags (u16) at val[0x10] — 0=ADS, 2=snapshot.",Yes,both,E2+RD,RefsConvertToNonResident accepts type 0xB0 but conversion threshold (2KB) never reached by ADS,985 entries / 111 images: 956 ADS (SS flags=0) + 29 snapshots (SS flags=2). Both discriminators (val[0x10] and val[0x02] HasSnapshot bit) agree perfectly
MD_SNAP_RA_006,Metadata,Sub-records,"$SNAPSHOT/ADS (0xB0): identical stream summary format to SI $DATA. Storage type at val[0x10]: 0=ADS, non-zero=snapshot. 979 MI entries across 110 images (678 ADS + 30 snapshots).",Yes,both,E2+RD,RefsConvertToNonResident accepts type 0xB0,"979 entries: val[0x10]=0 for ADS, val[0x10]!=0 for snapshots. Stream summary at same offsets as SI $DATA."
MD_SNAP_RA_007,Metadata,$SI,"E20 reaffirmed: ALL alternate data streams (ADS, type 0xB0) are inline/resident — every 0xB0 ADS has stream_flags=0x02 (159/159), including the single attr_flags=0x1000 ADS (still inline). The ""genuine non-resident ADS"" claim is REFUTED; attr-bit 0x1000 marks ADS-on-a-file-with-snapshots/stream-set, not non-residency.",Yes,both,RD,RefsConvertToNonResident accepts type 0xB0 but the 2KB conversion threshold is never reached by ADS.,All 159 ADS stream_flags=0x02 (inline); the one attr_flags=0x1000 ADS still stream_flags=0x02. E20 (ADS always inline) HOLDS.
MD_TS_RA_001,Metadata,Timestamps,Last access time (offset 0x40 in $SI) updated on read operations when RefsDisableLastAccessUpdate=0. Independent of Last Write Time. Verified: cat ok.txt changed LastAccessTime from 3:30:03 to 3:30:27 while LastWriteTime stayed at 3:30:03.,No,all,N/A,On-disk layout observation; not directly verifiable from driver code,Manual test on win11refs8gtest4timestamps.raw with registry RefsDisableLastAccessUpdate=0. Raw disk verification at offset 0x40. See ra_step4_17_4th_timestamp_report.md
MD_TS_RA_002,Metadata,Timestamps,Write operations update both Last Write Time (M offset 0x30) and Last Access Time (A offset 0x40) simultaneously to the same value. A write implies access.,No,all,N/A,On-disk layout observation; not directly verifiable from driver code,"Observed in manual timestamp tests on win11refs8gtest4timestamps.raw. See ra_step4_17_4th_timestamp_report.md | DOWNGRADED to INFERRED 2026-06-18 (all-disk re-verify: offset/value RD-confirmed, semantic label not disk-checkable — was CONFIRMED): The 'write updates both M and A to the same value' is behavioral; partially visible (equal timestamps on written files) but a controlled write-vs-read experiment is needed to assert causation. Offsets confirmed."
MD_TS_RA_003,Metadata,Timestamps,ADS (Alternate Data Stream) writes update parent file LastWriteTime AND LastAccessTime. The ADS operation is reflected in the main $SI timestamps.,No,all,N/A,On-disk layout observation; not directly verifiable from driver code,set-content -stream 'adstest' updated parent file M and A timestamps. See ra_step4_17_4th_timestamp_report.md
MD_TS_RA_004,Metadata,Timestamps,Attribute changes (e.g. setting ReadOnly) update ONLY the metadata change time at offset 0x38. This timestamp is NOT exposed by PowerShell Get-Item (which shows only C M A). Only visible via raw disk analysis or Win32 GetFileInformationByHandleEx.,No,all,N/A,On-disk layout observation; not directly verifiable from driver code,Raw disk: MFT change time 13:33:27 at offset 0x38 vs last access 13:32:09 at offset 0x40. Delta = 1:18 confirming separate update. See ra_step4_17_4th_timestamp_report.md
MD_TS_RA_005,Metadata,Timestamps,ReFS does NOT support 8.3 short file names. fsutil file setshortname returns 'A local NTFS volume is required'. Format-Volume -ShortFileNameSupport $true returns 'Not Supported'. No RefsSetShortName function exists in refs.sys.,No,all,E2,No RefsSetShortName function in refs.sys decompilation,Tested on win11refs8gtest4timestamps.raw. See ra_step4_17_4th_timestamp_report.md
MD_UNSUP_RA_001,Metadata,Unsupported Features,"Object IDs (fsutil objectid), short names (fsutil file setshortname), and DAX mode NOT supported on ReFS. Hard-link enumeration (fsutil hardlink list) IS supported on native v3.14 (#340/FN_LINK_002 — verified on win11refs2gtargeted); it was unsupported on v3.4.",No,3.14,N/A,On-disk layout observation; not directly verifiable from driver code,See ra_step4_18_deep_attribute_analysis_report.md Section 11.1
MD_USN_RA_001,Metadata,USN Journal,USN Journal version 3 record format on ReFS with 128-bit File IDs. Record lengths range from 96 to 168 bytes depending on file name length.,No,3.14,N/A,On-disk layout observation; not directly verifiable from driver code,See ra_step4_18_deep_attribute_analysis_report.md Section 3.1 | RE-VERIFIED 2026-06-18 (all-disk): claimed 'Record lengths range from 96 to 168 bytes'; disk shows 80..312 across the corpus. The 96-168 window is both too high a floor (driver min is 0x50=80) and too low a ceiling (312 observed). structure_reference §C.13 already CORRECTED 
MD_USN_RA_002,Metadata,USN Journal,"128-bit File ID structure: upper 8 bytes = table OID, lower 8 bytes = entry index. Enables direct mapping from USN record to B+-tree location.",No,3.14,N/A,On-disk layout observation; not directly verifiable from driver code,See ra_step4_18_deep_attribute_analysis_report.md Section 3.2
MD_USN_RA_003,Metadata,USN Journal,USN reason code catalog for ReFS operations including Reparse point change 0x100000. Covers file create/delete/modify/rename/attribute change/encryption/sparse/security.,No,3.14,N/A,On-disk layout observation; not directly verifiable from driver code,See ra_step4_18_deep_attribute_analysis_report.md Section 3.3
MD_USN_RA_004,Metadata,Sub-records,"Type 0xF0 = USN change-journal $Max metadata (NTFS $UsnJrnl:$Max: MaximumSize@+0x00 / AllocationDelta@+0x08 / UsnId FILETIME@+0x10 / LowestValidUsn@+0x18). Unnamed single-instance attr (marker 0x80000001), 0x20-byte payload + 12B wrapper = 44B, on the ""Change Journal"" file under OID 0x520. Created by RefsSetupUsnJournal — present since v3.4. Distinct from 0x100/$EFS.",Yes,both,E2+RD,"RefsSetupUsnJournal: win11 CreateAttribute(0xf0,NULL,&body,0x20) L445618 / win10 RefsCreateAttributeWithValue(0xf0,NULL,0x20) L325274; READ LookupAttribute(0xf0,NULL). EFS path uses type 0x100.","9 images (1 per image, all where USN journal active), always OID 0x520 Change Journal, 44 bytes. MaxSize 32MB(winsider)/128MB = standard fsutil usn createjournal sizes. v3.14 floor = sampling artifact."
